id,playtime_forever
0,1.573230414
1,0
2,0
3,0
4,13.71004112
5,6.130118508
6,5.259289156
7,0
8,3.345088021
9,0.584672442
10,8.75998125
11,0
12,0.455800273
13,1.513128875
14,0.130284669
15,0
16,13.27119762
17,0.965750139
18,3.648186349
19,4.445256589
20,3.097979706
21,0
22,0
23,0.953468993
24,0.596956613
25,0
26,0
27,0
28,3.277156464
29,1.143515536
30,5.695653246
31,15.60796688
32,0
33,0
34,0
35,4.176648516
36,0
37,15.73301464
38,1.777832328
39,0
40,0
41,0.670272705
42,11.27210197
43,2.204723071
44,5.041709553
45,0
46,0.882525507
47,2.561104431
48,0
49,0
50,5.710803272
51,8.357838986
52,0
53,0.694969053
54,3.331509394
55,0
56,0.119832733
57,5.756147707
58,8.527719048
59,1.029626763
60,5.977859554
61,0
62,3.470162008
63,4.846775679
64,0
65,0
66,3.579313681
67,7.648324829
68,5.457604041
69,0
70,2.812986811
71,4.302132525
72,2.427344016
73,15.16455899
74,6.325874229
75,17.39111642
76,10.1130882
77,4.458814534
78,2.546615397
79,0
80,7.812578849
81,2.850813245
82,3.208722703
83,4.544213015
84,5.714888102
85,0
86,0
87,4.503827171
88,10.19157331
89,0
